id	time	type	time1	time2	time3	time4	time5	time6
1001	1	Siso	2374	16768	14956	18601	18939	17052
1001	2	Siso	6135	11745	13761	29053	18815	17611
1001	3	Linear	7438	12314	12866	17259	19847	15769
1001	4	Linear	12178	16614	18580	44892	19020	21788
1002	1	Siso	34668	36379	13417	19878	18824	18339
1002	2	Linear	7987	12009	66559	74155	25059	17164
1002	3	Linear	6490	12139	13912	23772	19747	18000
1002	4	Siso	12152	13148	13838	29572	18157	44086
1010	1	Linear	19053	16726	12885	20693	20372	20313
1010	2	Linear	7488	16622	15237	27975	18827	16325
1010	3	Siso	7005	11875	14190	20185	18154	21041
1010	4	Siso	6331	12292	14198	16969	19620	17652
1003	1	Siso	NA	NA	13795	23680	18774	23860
1003	2	Siso	8533	12258	13856	17202	18730	20907
1003	3	Linear	7704	11900	13780	16604	21787	15139
1003	4	Linear	6565	12535	13479	17299	18956	17076
1011	1	Siso	4908	29968	14530	18927	24214	16447
1011	2	Linear	7257	10570	13853	17599	22779	15364
1011	3	Linear	8463	12098	14695	17347	24179	15051
1011	4	Siso	6055	11888	12768	18431	21061	15635
1012	1	Siso	3716	12945	18116	20366	24227	46884
1012	2	Siso	10203	11752	18171	20666	20780	19058
1012	3	Linear	6899	11090	13949	23151	18437	28619
1012	4	Linear	7565	12632	13593	45314	45635	17385
1005	1	Siso	35578	36585	13240	18065	17752	16099
1005	2	Linear	39615	16732	13154	20684	18106	17256
1005	3	Siso	10523	11911	13870	20182	22762	15842
1005	4	Linear	8313	11711	14313	17620	24330	38782
1020	1	Siso	11688	26877	19331	19021	18148	15418
1020	2	Linear	12001	11252	13780	18036	20231	15029
1020	3	Siso	6789	12475	13747	19216	45445	17001
1020	4	Linear	6185	12076	13044	28685	28408	15109
1013	4	Siso	7278	12132	19809	22033	18369	15734
1006	1	Linear	2376	57290	13977	18220	17683	17147
1006	2	Siso	7058	11602	23399	44871	19604	16502
1006	3	Linear	6580	11448	12498	18022	20346	15616
1006	4	Siso	8231	13704	13898	22188	22540	17645
1021	1	Siso	22042	11964	24864	26478	18654	20599
1021	2	Siso	5647	12736	22515	24977	27641	16970
1021	3	Linear	6444	11693	13093	18680	16781	15106
1021	4	Linear	8686	12052	13355	17060	19793	15007
1014	1	Siso	3736	18756	14493	19086	19361	16347
1014	2	Linear	6544	11695	13736	17155	19280	16771
1014	3	Linear	7698	11296	14303	22873	18698	15028
1014	4	Siso	7567	11310	40575	22007	18623	15930
1007	1	Siso	16650	12297	15207	32253	23652	16694
1007	2	Linear	6664	11618	13946	18203	19367	15456
1007	3	Siso	6322	12093	13985	28376	21173	16043
1007	4	Linear	7741	11537	13124	17625	18869	15905
1022	1	Linear	NA	35185	13621	17248	21928	15562
1022	2	Siso	5883	12432	13569	33564	23767	17355
1022	3	Siso	5789	12089	14058	17351	20561	15820
1022	4	Linear	7442	12688	13732	17074	18631	16714
1015	1	Linear	4172	17742	14178	17508	20776	16497
1015	2	Linear	7405	15038	13689	21714	17756	21779
1015	3	Siso	6171	12368	18338	19210	17844	18115
1015	4	Siso	9554	11945	13681	43223	20066	43836
1008	1	Linear	1432	11598	12250	17471	40757	17112
1008	2	Linear	5396	11553	18807	21504	18811	16030
1008	3	Siso	10710	11776	13851	18388	19335	20800
1008	4	Siso	5800	12182	19532	17176	17656	17082
1030	1	Linear	7001	12023	13493	16873	20182	16167
1030	2	Siso	7904	11762	18273	19855	17834	16041
1030	3	Siso	7004	9689	15264	17215	18369	15622
1030	4	Linear	6406	16385	13587	43380	20448	16583
1023	1	Linear	4530	31384	13790	18251	17380	17263
